ID,coho,area,ppt.su.2000,ppt.su.2001,ppt.su.2002,ppt.su.2003,ppt.su.2004,ppt.su.2005,ppt.su.2006,ppt.su.2007,ppt.su.2008,ppt.su.2009,ppt.su.2010,ppt.su.2011,ppt.fa.2000,ppt.fa.2001,ppt.fa.2002,ppt.fa.2003,ppt.fa.2004,ppt.fa.2005,ppt.fa.2006,ppt.fa.2007,ppt.fa.2008,ppt.fa.2009,ppt.fa.2010,ppt.fa.2011,ccap.decid,ccap.open,ccap.evgrn,ccap.hdev,ccap.ldev,ccap.mdev,ccap.mxforest,ccap.wetland,ccap.ag,ccap.other,roads.1,roads.2,roads.3,roads.4,roads.5,nlcd.imperv,restoration,pop.census,pop.lscan,traffic
21,0,13080135,133,143,96,28,197,112,77,129,252,65,35,106,322,835,398,1019,619,539,867,473,580,838,566,746,0.001,0.000,0.560,0.000,0.000,0.000,0.000,0.000,0.000,0.438,0,0,0,0,6,0.0003,0.0000,0.04,0.00,0.0
22,0,20975439,128,142,78,23,199,131,86,135,303,77,25,109,353,834,363,1104,676,634,1097,697,737,1295,654,783,0.006,0.000,0.782,0.000,0.006,0.001,0.008,0.003,0.000,0.195,0,0,0,0,321,0.0038,0.0000,3.77,0.05,0.0
23,0,19313171,131,145,76,23,206,120,70,122,282,70,24,95,316,720,282,959,574,569,1061,680,713,1207,637,754,0.017,0.000,0.819,0.000,0.001,0.000,0.014,0.001,0.000,0.149,0,0,0,0,40,0.0024,0.0000,4.13,0.37,0.0
24,0,15094646,141,154,84,24,221,146,105,161,327,78,29,125,423,897,438,1237,788,714,1252,826,863,1510,798,902,0.004,0.000,0.873,0.000,0.001,0.000,0.006,0.003,0.000,0.112,0,0,0,0,0,0.0016,0.0000,0.03,0.02,0.0
25,1,27595956,111,132,63,24,182,92,35,90,238,59,22,66,266,593,261,827,478,456,687,422,466,763,373,482,0.052,0.000,0.593,0.000,0.004,0.000,0.123,0.040,0.002,0.187,0,0,0,0,539,0.0036,0.0000,10.45,3.94,199.2
26,1,17242707,96,121,53,27,164,77,24,76,211,56,19,56,221,478,229,706,405,374,513,308,325,550,238,334,0.119,0.003,0.253,0.000,0.013,0.002,0.210,0.097,0.036,0.267,0,0,34,231,877,0.0092,0.0000,32.87,21.94,1345.6
27,1,28430269,117,134,65,22,189,93,40,97,240,60,24,72,295,666,289,899,518,494,754,466,521,851,435,545,0.032,0.000,0.640,0.000,0.003,0.000,0.092,0.021,0.000,0.213,0,0,0,0,486,0.0032,0.0000,4.36,0.92,56.5
28,1,25164475,111,138,63,14,204,83,84,155,297,73,42,117,437,995,460,1241,765,745,1266,869,887,1515,864,918,0.003,0.000,0.810,0.000,0.009,0.001,0.005,0.000,0.000,0.173,0,0,0,0,347,0.0048,0.0000,0.05,0.04,0.0
29,0,24081869,134,158,72,19,211,96,61,122,239,61,37,93,513,1109,614,1333,925,856,950,652,697,1146,645,732,0.003,0.000,0.605,0.000,0.008,0.000,0.169,0.016,0.000,0.199,0,0,0,0,0,0.0039,0.0000,0.00,0.00,0.0
30,1,20162601,155,180,79,19,245,103,84,151,282,64,39,111,571,1249,638,1459,1069,1007,1220,835,875,1494,826,879,0.035,0.000,0.633,0.000,0.015,0.001,0.032,0.002,0.000,0.283,0,0,0,0,681,0.0090,0.0000,1.31,0.10,0.0
31,1,17265191,124,145,73,20,205,94,66,128,237,67,31,102,444,992,443,1126,794,750,934,650,701,1059,651,767,0.011,0.000,0.605,0.000,0.010,0.000,0.030,0.000,0.000,0.344,0,0,0,0,343,0.0059,0.0000,20.01,1.24,0.0
32,0,17918164,134,142,89,24,198,81,67,124,233,71,37,125,290,667,262,916,525,588,941,478,640,765,691,886,0.002,0.000,0.644,0.001,0.005,0.001,0.001,0.008,0.000,0.339,0,0,0,0,436,0.0038,0.0000,0.03,0.06,0.0
33,0,20880702,126,136,89,24,187,81,46,109,217,60,28,103,256,599,232,789,479,495,768,434,572,700,506,672,0.013,0.000,0.765,0.000,0.013,0.001,0.002,0.083,0.000,0.123,0,0,0,303,438,0.0063,0.0000,0.02,0.00,216.0
34,1,21458801,122,135,83,23,185,102,56,101,242,60,20,82,270,631,266,847,514,491,750,411,471,783,389,520,0.011,0.000,0.794,0.000,0.006,0.001,0.019,0.007,0.000,0.162,0,0,0,234,722,0.0056,0.0000,0.09,0.00,220.2
35,1,18169945,113,129,72,21,177,89,35,86,259,58,16,71,242,554,201,814,433,455,732,421,489,778,392,514,0.017,0.000,0.767,0.000,0.006,0.001,0.073,0.001,0.000,0.135,0,0,0,320,994,0.0074,0.0000,5.81,2.99,367.9
36,0,32700019,201,201,125,30,277,173,122,186,343,82,40,140,575,1235,626,1455,1113,925,1201,796,834,1437,789,898,0.001,0.000,0.425,0.000,0.002,0.000,0.001,0.000,0.000,0.570,0,0,0,0,60,0.0011,0.0000,0.02,0.00,0.0
37,1,24636749,126,141,82,22,199,124,75,124,282,74,24,99,345,837,398,1100,707,627,827,494,542,926,450,570,0.004,0.000,0.901,0.000,0.006,0.000,0.004,0.004,0.000,0.081,0,0,0,0,563,0.0041,0.0000,0.20,0.04,0.0
38,1,24672230,114,131,71,20,183,100,44,96,252,62,17,73,277,667,295,961,557,531,700,405,455,755,361,473,0.011,0.000,0.809,0.001,0.011,0.002,0.037,0.002,0.000,0.127,0,0,0,36,1114,0.0081,0.0000,2.90,2.55,50.6
39,1,13018394,111,131,66,20,177,92,35,89,273,61,16,68,265,618,246,915,473,482,754,450,513,841,411,527,0.029,0.000,0.703,0.001,0.016,0.003,0.058,0.005,0.000,0.186,0,0,0,102,534,0.0129,0.0000,3.42,8.32,144.5
40,1,23428800,114,132,68,21,181,98,39,94,272,63,17,70,288,670,284,961,535,526,795,479,539,885,440,557,0.026,0.000,0.680,0.000,0.008,0.001,0.044,0.008,0.000,0.233,0,0,0,99,133,0.0068,0.0000,5.27,1.38,141.0
41,0,22065704,128,141,91,27,193,99,50,98,241,60,21,84,265,603,241,819,483,476,721,419,461,738,380,526,0.003,0.000,0.794,0.000,0.007,0.001,0.005,0.000,0.000,0.190,0,0,0,0,422,0.0034,0.0000,0.00,0.00,0.0
42,0,28738187,125,140,85,27,191,96,40,89,272,59,20,87,268,608,248,857,480,484,795,451,532,824,446,591,0.003,0.000,0.878,0.000,0.003,0.000,0.003,0.000,0.000,0.113,0,0,0,0,597,0.0039,0.0000,1.91,0.00,0.0
43,1,28736575,117,133,75,24,181,91,33,83,269,59,18,75,259,588,234,851,460,468,778,444,522,822,427,557,0.031,0.000,0.797,0.000,0.006,0.001,0.014,0.001,0.000,0.151,0,0,0,0,763,0.0067,0.0000,2.13,0.24,0.0
44,1,19802730,104,126,60,22,169,83,26,84,249,58,17,59,248,564,237,811,457,449,650,390,445,710,339,449,0.039,0.000,0.652,0.000,0.009,0.000,0.086,0.018,0.000,0.195,0,0,0,229,245,0.0055,0.0000,5.74,1.77,324.5
45,1,23008008,121,140,78,29,186,95,38,89,264,60,20,84,279,627,274,897,507,500,704,406,471,742,370,495,0.021,0.000,0.700,0.000,0.008,0.001,0.019,0.006,0.000,0.243,0,0,0,30,0,0.0101,0.0000,2.62,3.01,42.9
46,1,15166481,105,126,61,25,171,80,24,82,240,59,19,58,241,543,238,772,445,434,578,348,399,622,283,389,0.049,0.000,0.602,0.000,0.004,0.000,0.110,0.015,0.000,0.221,0,0,0,171,0,0.0040,0.0000,5.20,1.12,243.0
47,1,31473932,109,135,66,31,176,85,25,82,240,62,19,61,253,569,269,808,467,448,529,327,368,575,255,361,0.125,0.001,0.404,0.000,0.006,0.002,0.204,0.012,0.010,0.235,0,0,0,65,660,0.0069,0.0000,13.94,8.00,283.0
48,1,42888961,102,133,57,37,163,80,25,81,223,65,19,60,238,523,258,753,439,418,490,312,348,544,235,335,0.074,0.000,0.448,0.000,0.018,0.002,0.208,0.004,0.098,0.148,0,0,0,122,776,0.0093,0.0000,45.62,27.71,286.6
49,1,27223815,100,131,56,35,171,78,23,82,232,64,18,52,235,518,253,744,437,423,505,312,354,529,222,325,0.170,0.022,0.286,0.000,0.037,0.004,0.237,0.025,0.122,0.097,0,0,0,379,820,0.0191,0.0000,73.39,67.41,1323.9
50,1,21358723,106,138,60,37,174,81,43,99,247,71,22,64,267,586,284,804,484,460,641,410,438,673,324,448,0.087,0.001,0.499,0.000,0.006,0.001,0.173,0.010,0.012,0.211,0,0,0,159,134,0.0057,0.0000,11.83,7.72,802.7
51,1,26017773,104,131,59,31,173,80,38,94,242,66,22,63,252,554,262,779,461,436,622,399,416,667,318,436,0.080,0.000,0.474,0.000,0.006,0.000,0.189,0.028,0.054,0.169,0,0,0,100,249,0.0050,0.0000,13.17,3.55,536.3
52,1,23233220,125,143,75,25,196,112,54,109,268,68,22,80,308,690,292,922,570,552,939,591,631,1041,544,674,0.015,0.000,0.688,0.000,0.006,0.001,0.042,0.015,0.003,0.230,0,0,0,0,108,0.0046,0.0000,11.93,9.22,47.6
53,0,25722911,198,198,104,25,280,138,131,218,368,76,52,148,566,1224,593,1442,1069,942,1502,1060,1101,1922,1071,1103,0.003,0.000,0.547,0.000,0.001,0.000,0.001,0.000,0.000,0.448,0,0,0,0,193,0.0009,0.0000,0.02,0.00,0.0
54,0,20698300,162,177,82,19,254,112,108,170,318,68,35,125,441,1048,467,1330,814,779,1339,930,960,1672,913,959,0.004,0.000,0.698,0.000,0.002,0.000,0.002,0.008,0.000,0.287,0,0,0,0,213,0.0013,0.0000,0.02,0.00,0.0
55,0,20623743,161,173,88,22,248,128,110,176,329,71,36,129,442,1001,459,1275,812,755,1317,906,940,1645,893,960,0.004,0.000,0.648,0.000,0.000,0.000,0.002,0.000,0.000,0.346,0,0,0,0,123,0.0004,0.0000,0.02,0.00,0.0
56,0,29435667,145,158,79,21,230,123,97,158,316,71,33,119,402,910,408,1211,751,692,1248,836,872,1518,813,896,0.004,0.000,0.673,0.000,0.001,0.000,0.005,0.002,0.000,0.314,0,0,0,0,52,0.0013,0.0000,0.02,0.00,0.0
57,0,25372844,134,147,71,20,213,101,73,132,283,66,33,99,357,812,340,1049,649,614,1103,721,763,1280,699,793,0.009,0.000,0.763,0.001,0.010,0.000,0.031,0.002,0.000,0.184,0,0,0,0,177,0.0087,0.0000,0.99,0.68,0.0
58,1,22578959,96,117,54,23,165,77,25,78,188,53,24,59,243,533,250,740,408,377,520,319,354,591,272,372,0.035,0.003,0.322,0.000,0.019,0.001,0.123,0.110,0.208,0.178,0,0,225,0,625,0.0119,0.0000,16.44,8.78,612.4
59,0,32203715,158,176,78,17,255,101,98,165,308,66,35,120,489,1149,523,1424,888,876,1323,915,939,1632,890,927,0.000,0.000,0.660,0.000,0.002,0.000,0.001,0.000,0.000,0.337,0,0,0,0,182,0.0011,0.0000,0.02,0.00,0.0
60,0,21180986,123,155,64,13,235,85,83,148,287,65,36,111,442,1072,495,1364,809,784,1228,838,867,1499,819,864,0.003,0.000,0.737,0.000,0.003,0.000,0.003,0.000,0.000,0.254,0,0,0,0,394,0.0021,0.0000,1.30,0.00,0.0
61,1,27043636,100,127,59,14,203,82,74,145,272,70,41,109,436,988,506,1261,769,740,1173,793,835,1411,807,870,0.002,0.000,0.701,0.000,0.000,0.000,0.018,0.004,0.000,0.275,0,0,0,0,0,0.0000,0.0000,0.07,0.00,0.0
62,1,24612445,114,144,63,15,210,84,63,127,248,63,35,97,490,1114,562,1307,886,840,1052,697,746,1246,701,768,0.052,0.000,0.586,0.000,0.001,0.000,0.097,0.003,0.000,0.261,0,0,0,0,436,0.0003,0.0000,1.25,0.33,0.0
63,1,39067071,127,151,69,18,204,92,54,115,223,60,36,90,524,1134,623,1349,949,858,876,600,653,1055,603,690,0.133,0.000,0.502,0.000,0.004,0.000,0.156,0.012,0.000,0.193,0,0,0,0,718,0.0037,0.0000,9.18,0.24,0.0
64,1,23970449,110,131,64,19,200,87,52,106,217,61,35,88,351,786,343,959,577,540,741,543,609,944,552,661,0.035,0.000,0.543,0.000,0.001,0.000,0.109,0.022,0.000,0.289,0,0,0,0,238,0.0015,0.0000,13.28,0.57,0.0
65,1,20666145,103,122,57,18,180,80,38,88,199,57,31,72,300,676,307,879,466,429,620,428,479,764,415,523,0.016,0.000,0.448,0.000,0.004,0.000,0.179,0.031,0.001,0.321,0,0,0,0,127,0.0032,0.0000,15.54,1.12,0.0
66,0,30779162,166,181,85,21,251,111,101,166,310,68,43,122,533,1176,593,1382,1001,928,1335,935,968,1653,924,978,0.004,0.000,0.593,0.001,0.009,0.001,0.005,0.002,0.000,0.385,0,0,0,0,0,0.0070,0.0000,0.49,0.42,0.0
67,1,28263406,132,151,71,20,208,94,57,117,244,61,35,89,428,955,486,1167,765,707,898,601,651,1072,594,692,0.017,0.000,0.719,0.000,0.003,0.000,0.032,0.005,0.000,0.223,0,0,0,0,5,0.0060,0.0000,0.68,0.21,0.0
68,1,29035456,99,116,55,21,170,77,39,92,202,58,32,72,274,615,286,801,476,429,617,391,443,712,372,485,0.083,0.003,0.350,0.001,0.014,0.004,0.135,0.066,0.094,0.249,0,0,112,0,294,0.0108,0.0000,15.25,14.21,216.0
69,1,30599100,120,138,66,20,194,89,42,101,231,59,29,77,339,781,354,994,590,550,764,487,540,881,466,572,0.017,0.000,0.573,0.000,0.009,0.000,0.089,0.020,0.000,0.291,0,0,0,0,130,0.0069,0.0000,2.40,0.38,20.0
70,1,14518108,103,121,57,20,175,78,27,84,198,54,25,64,276,628,294,840,466,428,546,350,404,656,324,431,0.030,0.000,0.482,0.000,0.002,0.000,0.134,0.007,0.000,0.345,0,0,0,0,431,0.0024,0.0000,7.34,1.98,104.2
71,1,22246449,101,120,57,23,169,79,46,102,222,62,34,77,282,629,298,812,503,455,695,432,462,755,399,516,0.096,0.001,0.390,0.000,0.005,0.001,0.090,0.038,0.135,0.244,0,0,100,0,203,0.0045,0.0000,8.88,5.81,301.8
72,1,16295722,102,123,58,27,169,78,35,95,224,61,26,71,260,570,269,771,465,427,646,408,420,713,356,470,0.118,0.000,0.406,0.000,0.007,0.000,0.094,0.029,0.117,0.229,0,0,24,0,328,0.0055,0.0000,20.53,7.46,66.0
73,1,11073101,95,117,53,24,162,76,22,74,196,52,22,55,226,490,232,708,403,369,503,297,321,547,236,330,0.099,0.006,0.304,0.000,0.014,0.001,0.254,0.061,0.061,0.199,0,0,191,0,582,0.0090,0.0000,27.94,10.66,623.0
74,1,28900629,94,120,51,33,160,75,30,84,208,58,22,64,228,480,234,680,413,363,541,332,334,589,261,356,0.109,0.002,0.301,0.001,0.017,0.003,0.114,0.043,0.060,0.351,0,0,107,0,284,0.0111,0.0000,25.65,28.57,725.4
75,1,28735080,99,129,55,36,165,77,41,96,228,66,23,68,247,528,260,737,442,402,614,396,394,672,323,438,0.047,0.007,0.475,0.001,0.026,0.004,0.118,0.014,0.104,0.204,0,0,228,0,697,0.0175,0.0000,24.71,18.53,1851.4
76,1,23651859,94,120,51,36,157,78,44,91,209,63,27,70,233,488,240,676,423,378,543,336,333,588,267,361,0.042,0.004,0.396,0.000,0.023,0.002,0.177,0.020,0.131,0.205,0,0,136,29,488,0.0127,0.0000,43.99,26.85,1189.0
77,1,29974778,93,135,48,48,151,79,40,92,214,80,21,67,228,475,252,664,418,389,541,355,381,605,281,389,0.057,0.001,0.463,0.000,0.014,0.003,0.202,0.025,0.160,0.075,0,0,1,284,380,0.0081,0.0000,32.49,25.72,654.7
78,1,23297080,94,134,50,46,152,78,32,81,206,76,19,61,223,468,246,666,415,390,507,324,362,559,247,350,0.110,0.000,0.236,0.001,0.018,0.002,0.304,0.017,0.175,0.137,0,0,0,448,418,0.0088,0.0000,18.51,6.98,522.2
79,1,10347691,89,130,47,45,145,76,23,69,186,72,18,56,203,421,225,619,384,360,412,266,305,480,194,280,0.016,0.000,0.259,0.002,0.018,0.002,0.106,0.007,0.573,0.017,0,0,0,24,878,0.0092,0.0000,19.63,15.50,80.4
80,1,26875577,140,147,80,30,179,90,61,123,212,74,41,126,274,629,235,882,425,448,862,449,573,873,678,971,0.002,0.000,0.643,0.000,0.000,0.000,0.001,0.002,0.000,0.353,0,0,0,0,0,0.0000,0.0000,0.02,0.00,0.0
81,1,29713358,95,100,49,20,136,73,43,93,191,68,39,93,288,586,198,881,446,449,751,430,475,757,540,769,0.005,0.000,0.771,0.000,0.000,0.000,0.005,0.008,0.000,0.211,0,0,0,0,0,0.0000,0.0000,0.02,0.00,0.0
82,1,14939644,75,85,41,16,118,62,38,91,189,66,36,86,255,541,190,834,394,382,628,419,420,672,434,614,0.004,0.000,0.909,0.000,0.000,0.000,0.005,0.018,0.000,0.064,0,0,0,0,0,0.0000,0.0000,0.03,0.01,0.0
83,1,33975689,110,118,62,23,150,76,49,108,207,69,39,103,290,619,234,938,442,458,761,453,540,813,592,829,0.003,0.000,0.656,0.000,0.000,0.000,0.001,0.000,0.000,0.340,0,0,0,0,0,0.0000,0.0000,0.01,0.01,0.0
84,0,35293074,156,159,103,34,197,97,47,111,225,66,29,100,257,579,230,838,442,456,798,483,565,793,573,785,0.004,0.000,0.634,0.000,0.000,0.000,0.002,0.000,0.000,0.360,0,0,0,0,0,0.0000,0.0000,0.00,0.04,0.0
85,0,11990768,138,144,86,30,181,91,50,113,224,68,32,101,351,785,339,1128,528,593,807,485,590,844,623,853,0.001,0.000,0.473,0.000,0.000,0.000,0.000,0.002,0.000,0.524,0,0,0,0,0,0.0000,0.0000,0.00,0.07,0.0
86,1,13798181,82,127,40,51,134,75,24,67,170,79,17,59,183,360,208,536,348,324,365,243,287,451,175,254,0.048,0.000,0.071,0.003,0.035,0.006,0.129,0.022,0.670,0.016,0,0,0,147,1469,0.0181,0.0000,55.26,44.19,606.0
87,1,7875356,79,125,38,53,129,75,25,62,159,80,18,62,168,322,190,484,322,298,337,230,276,435,166,243,0.005,0.006,0.000,0.004,0.057,0.008,0.005,0.001,0.911,0.002,0,0,682,0,1236,0.0288,0.0000,61.26,68.70,4355.7
88,1,9651987,78,124,38,56,120,71,24,63,146,85,17,60,173,336,200,495,329,306,367,250,296,452,175,249,0.044,0.000,0.008,0.008,0.030,0.015,0.016,0.044,0.796,0.039,0,0,0,223,899,0.0218,0.0000,46.37,15.31,1519.9
89,1,9517865,62,83,27,26,100,66,6,35,103,41,30,47,117,247,101,384,275,231,273,149,222,320,136,174,0.298,0.104,0.006,0.033,0.139,0.086,0.040,0.105,0.089,0.099,645,0,0,609,2410,0.1568,0.0000,313.35,261.18,23660.2
90,1,10573195,88,124,46,42,149,73,29,77,192,65,22,57,213,432,229,612,388,342,471,290,293,515,215,300,0.024,0.001,0.263,0.008,0.023,0.018,0.120,0.003,0.365,0.176,0,0,213,0,659,0.0310,0.0000,31.29,12.03,904.1
91,1,6451238,81,126,39,54,124,74,23,63,155,84,17,60,181,352,212,518,343,317,352,241,287,443,172,247,0.037,0.020,0.005,0.028,0.096,0.039,0.011,0.012,0.746,0.005,0,0,184,90,2750,0.0824,0.0000,160.46,143.93,1870.6
92,1,9394760,74,111,35,50,121,67,18,59,135,66,20,52,160,310,176,454,315,281,353,229,269,418,166,228,0.002,0.010,0.003,0.002,0.055,0.004,0.005,0.002,0.907,0.009,0,0,0,0,1500,0.0241,0.0000,54.96,21.72,2336.6
93,1,10387691,68,92,32,30,114,66,17,48,124,47,25,48,135,278,131,421,295,246,311,175,227,352,138,187,0.190,0.062,0.068,0.035,0.108,0.047,0.168,0.073,0.174,0.074,173,0,91,530,2494,0.1117,0.0000,248.34,158.88,15998.0
94,1,10021081,78,108,39,39,139,69,20,59,158,56,21,48,171,346,176,518,334,273,362,204,216,390,136,194,0.177,0.018,0.084,0.000,0.042,0.002,0.169,0.030,0.438,0.040,0,0,126,284,1568,0.0194,0.0000,148.99,41.02,2428.7
95,1,12985278,79,112,39,42,138,70,19,61,164,57,20,49,174,344,182,513,335,280,362,212,228,401,139,201,0.202,0.017,0.089,0.002,0.047,0.006,0.104,0.125,0.271,0.137,0,0,322,33,758,0.0265,0.0000,98.93,29.33,1814.1
96,1,14623267,75,116,36,49,125,70,21,60,148,71,19,55,164,315,181,469,317,282,340,221,259,414,155,221,0.068,0.010,0.016,0.004,0.048,0.013,0.019,0.109,0.572,0.141,0,0,0,139,1300,0.0304,0.0000,140.32,86.44,879.1
97,1,9521716,77,120,37,56,122,70,22,63,144,81,19,58,165,315,187,464,317,290,364,246,290,446,173,244,0.053,0.010,0.002,0.011,0.076,0.035,0.011,0.062,0.687,0.051,0,0,0,840,1667,0.0606,0.0000,195.50,182.73,2936.8
98,1,12028001,77,122,37,59,121,70,23,63,144,84,18,60,165,314,188,462,316,290,368,251,296,452,176,249,0.099,0.016,0.010,0.004,0.064,0.022,0.029,0.073,0.649,0.034,0,0,0,382,1337,0.0412,0.0000,133.12,67.82,2838.2
99,1,14433551,75,116,36,50,124,69,20,59,140,69,19,54,162,311,179,460,315,283,343,224,263,415,160,223,0.028,0.008,0.020,0.010,0.058,0.022,0.018,0.026,0.755,0.055,0,0,0,226,1245,0.0412,0.0000,134.85,86.44,1947.6
100,1,17054959,80,122,39,55,121,67,21,69,150,83,18,56,187,375,221,544,355,330,417,277,320,476,196,266,0.024,0.019,0.006,0.004,0.073,0.041,0.007,0.005,0.814,0.007,0,0,0,146,2164,0.0573,0.0000,220.77,168.95,1265.3
101,1,10561653,77,115,37,54,122,67,23,69,145,80,20,59,176,344,202,504,338,306,417,275,321,482,202,274,0.005,0.066,0.003,0.024,0.140,0.080,0.006,0.005,0.664,0.007,0,0,0,500,3264,0.1250,0.0000,341.36,304.62,3219.7
102,1,8362037,74,108,36,49,121,66,20,64,137,72,21,56,169,327,184,480,327,297,390,255,300,453,188,254,0.009,0.019,0.004,0.022,0.089,0.035,0.006,0.004,0.808,0.004,0,0,215,295,1974,0.0783,0.0000,192.84,170.53,3876.1
