ID,site,watershed,area,ppt_su_2000,ppt_su_2001,ppt_su_2002,ppt_su_2003,ppt_su_2004,ppt_su_2005,ppt_su_2006,ppt_su_2007,ppt_su_2008,ppt_su_2009,ppt_su_2010,ppt_su_2011,ppt_fa_2000,ppt_fa_2001,ppt_fa_2002,ppt_fa_2003,ppt_fa_2004,ppt_fa_2005,ppt_fa_2006,ppt_fa_2007,ppt_fa_2008,ppt_fa_2009,ppt_fa_2010,ppt_fa_2011,ccap_decid,ccap_open,ccap_evgrn,ccap_hdev,ccap_ldev,ccap_mdev,ccap_mxforest,ccap_wetland,ccap_ag,ccap_other,roads1,roads2,roads3,roads4,roads5,nlcd_imperv,restoration,pop_census,pop_lscan,traffic
33,Harris Tr. C,Harris Tr. C,2257829,57,123,46,11,184,70,22,80,122,45,38,56,252,521,179,524,356,369,468,276,312,449,265,311,0.021974,0.028765,0.113863,0,0.106672,0.001998,0.451059,0.01638,0,0.259289,0,0,0,37,2495,0.0439,0,116,87,156.9
34,Harris Tr. D,Harris Tr. D,344993,57,123,46,11,184,70,22,80,122,45,38,56,252,521,179,525,357,369,468,276,312,449,265,311,0.02611,0.002611,0.101828,0,0.05483,0,0.70235,0.005222,0,0.10705,0,0,0,336,3386,0.0204,0,50,15,1418.71
35,Index Creek (E.F. Stossel Cr),Index Creek (E.F. Stossel Cr),1674066,62,140,50,13,205,77,26,85,131,49,45,69,263,556,190,543,386,388,496,306,350,475,295,355,0.038337,0,0.360151,0,0,0,0.266739,0.040497,0,0.294276,0,0,0,0,753,0.0016,0,2,1,0
36,Jarstad Creek,Gorst Creek,1215900,35,123,20,9,102,42,4,91,80,26,24,27,222,465,169,497,212,315,677,301,321,498,365,380,0.039724,0,0.676536,0,0.00148,0,0.077473,0.007402,0,0.197385,0,0,0,0,0,0.0005,0,1,1,0
37,Johnson Creek,Johnson Creek,6975513,29,85,27,8,84,40,8,68,59,21,18,27,182,410,134,372,194,258,458,192,225,395,222,262,0.035717,0.066271,0.459807,0.013555,0.084431,0.024271,0.113564,0.025389,0.02582,0.151175,0,734,0,52,1980,0.0729,1.5769,110,154,16768.75
39,Lake Creek,Lake Creek,5894100,58,128,55,15,200,96,33,79,154,50,36,61,300,595,194,588,378,430,667,346,426,591,384,451,0.050288,0.012572,0.288543,0.00168,0.044485,0.024431,0.334962,0.016491,0.00168,0.224869,792,730,0,101,1049,0.0381,0.1697,31,55,30640.01
40,Lewis Creek,Lewis Creek,6872400,79,190,78,15,218,102,43,74,181,68,39,106,402,889,350,1044,680,660,1075,621,887,1030,753,818,0.015453,0,0.622839,0,0,0,0.135979,0.003143,0,0.222586,0,0,0,0,244,0.0004,0,1,0,18.32
42,Longfellow Creek,Longfellow Creek,9191615,15,78,18,6,83,33,5,73,81,25,22,28,166,326,95,356,143,212,416,187,224,375,242,240,0.071526,0.07681,0.007828,0.084932,0.310861,0.394618,0.038063,0.012329,0.000391,0.002642,0,0,0,2264,11014,0.4431,0.1088,2696,2242,30976.61
43,Lost Creek,Chico Creek,8165700,36,116,21,9,101,47,6,92,87,27,24,30,238,522,193,519,243,339,713,319,349,556,397,402,0.034498,0,0.647746,0,0.00022,0,0.114038,0.006282,0,0.197215,0,0,0,0,92,0.0006,0,13,9,0
44,M.F. Quilceda,M.F. Quilceda,7950600,58,106,50,10,140,57,21,72,101,36,24,60,152,365,119,386,190,264,359,214,333,457,260,345,0.245151,0.056939,0.126443,0.000113,0.109275,0.004641,0.198777,0.061127,0.049242,0.148291,0,0,0,254,1530,0.047,1.0062,80,37,3347.19
46,Parish Creek,Gorst Creek,4518000,35,111,22,10,94,49,4,81,80,25,21,25,225,475,176,529,217,314,710,292,324,455,363,369,0.044622,0.059163,0.440837,0.000398,0.108499,0.022908,0.1583,0.014343,0.001793,0.149137,0,0,80,201,793,0.0552,0,166,167,3605.7
47,People's Creek,People's Creek,9097200,71,127,46,13,160,69,24,79,119,48,47,66,235,521,176,541,363,359,455,260,368,464,263,294,0.082047,0.006431,0.182595,0.001484,0.040661,0.003166,0.425175,0.015532,0.026019,0.216891,0,0,73,0,1687,0.0197,0,34,22,731.37
48,Pipers Creek,Pipers Creek,7221746,17,72,22,7,85,33,16,83,79,27,24,29,170,326,86,329,156,199,395,160,206,362,217,242,0.054502,0.012846,0.015091,0.070342,0.415316,0.352831,0.044899,0.029808,0.000998,0.003367,0,0,0,1438,12346,0.4369,0.5539,2804,2248,34112.69
49,Pond Creek,Cherry Creek,2617374,54,104,42,11,173,59,20,76,114,43,35,53,211,451,144,438,290,316,453,265,316,438,251,292,0.090909,0.006543,0.147383,0.000344,0.080923,0.000689,0.491506,0.000689,0,0.181015,0,0,0,149,392,0.0277,0,32,19,2574.27
50,Ross Creek,Ross Creek,1156500,49,92,43,10,130,50,17,73,95,37,25,54,154,345,106,356,183,235,351,204,299,415,214,300,0.217121,0.085603,0.142153,0.009339,0.113619,0.017899,0.253178,0.016342,0.115175,0.029572,0,0,0,0,3687,0.0723,0,97,75,78.91
51,Son of Deer,Son of Deer,8477420,82,184,68,14,227,96,40,75,166,63,41,108,392,879,352,998,649,632,1027,590,864,975,714,771,0.015502,0,0.831104,0,0.000106,0,0.060947,0,0,0.092341,0,0,0,0,828,0.0026,0,0,0,0
52,Thornton Creek,Thornton Creek,29264099,15,68,21,7,86,32,10,86,83,26,26,31,173,327,85,322,152,191,377,156,210,365,217,244,0.011933,0.051116,0.049394,0.089531,0.484007,0.266583,0.026665,0.012343,0.000062,0.008366,546,0,197,1468,11562,0.4314,0.3417,2401,2190,80802.58
53,Valhalla Creek,Valhalla Creek,7385400,63,115,53,12,156,63,24,71,119,43,28,67,245,568,208,624,350,374,486,332,403,589,370,456,0.024372,0.00914,0.451093,0,0.009018,0,0.132098,0.041068,0.015233,0.317979,0,0,0,0,535,0.0052,0.1354,13,4,298.65
54,Weiss Creek,Weiss Creek,9509704,47,95,39,10,157,54,17,73,106,40,29,47,206,431,130,407,262,312,452,268,294,429,239,281,0.157664,0.038192,0.077584,0.00019,0.088135,0.010993,0.440864,0.015068,0.005876,0.165435,0,0,81,0,2358,0.043,0.3155,122,91,2842.11
55,Wildcat Creek,Chico Creek,16176600,35,113,21,9,100,45,5,91,82,27,23,30,229,499,181,486,228,325,668,301,329,532,371,383,0.017414,0.011795,0.648548,0.000278,0.046957,0.00434,0.067097,0.047179,0.001113,0.15528,0,0,0,0,467,0.0172,0,59,73,2558.13
56,Wildcat Creek Trib,Chico Creek and Wildcat Creek,3821000,34,110,22,8,98,42,5,90,76,27,22,29,217,471,168,446,210,309,614,282,306,506,342,361,0.005108,0.007308,0.670989,0.001179,0.048562,0.010137,0.022395,0.133899,0,0.100424,0,0,0,0,628,0.0191,0,47,127,2489.34
