"model"	"k"	"n"	"Intercept"	"RE.sd"	"Impervious"	"dense.urban"	"light.med.urb"	"grass.shrub.crops"	"conifer.deciduous"	"Apt.condo"	"Commercial"	"Industrial"	"Parks.open.space"	"Residential"	"FC00.Road"	"Nonlocal.Road"	"deviance"	"AICc"	"dAICc"	"wAICc"
"67"	"conifer.deciduous + Apt.condo + Nonlocal.Road"	5	34	2.27471133877818	0	NA	NA	NA	NA	-7.31264951728877	-27.9861015951448	NA	NA	NA	NA	NA	47.378952902068	68.0472339596226	80.1900911024797	3.93134834066714	0.0130654053852105
"68"	"conifer.deciduous + Commercial"	4	34	1.25123207980793	0	NA	NA	NA	NA	-6.13235736277641	NA	8.63317736504097	NA	NA	NA	NA	NA	70.9075215331111	80.2868318779387	4.02808911612608	0.0124484677008316
"130"	"Impervious + grass.shrub.crops + Commercial + FC00.Road"	6	34	-4.58871239682724	0	2.72059344345040	NA	NA	-0.752132108979572	NA	NA	16.7088188191794	NA	NA	NA	34.2467399065535	NA	65.447081581808	80.5581926929191	4.29944993110654	0.0108690264228592
"72"	"conifer.deciduous + Industrial + FC00.Road"	5	34	5.83642751625069	0	NA	NA	NA	NA	-11.3922044021836	NA	NA	-5.96873083195575	NA	NA	-27.3505030232943	NA	68.9526066374591	81.0954637803162	4.83672101850364	0.00830852077750632
"126"	"Impervious + grass.shrub.crops + Apt.condo"	5	34	-4.43559911913479	0	18.70140583982	NA	NA	1.3266503640241	NA	-50.308594663207	NA	NA	NA	NA	NA	NA	69.0308851674804	81.1737423103375	4.91499954852493	0.00798961299870286
"133"	"Impervious + grass.shrub.crops + Industrial + FC00.Road"	6	34	-2.45107735769314	0	20.4512826350254	NA	NA	-13.3419539545773	NA	NA	NA	-10.5983321419886	NA	NA	-52.3013364049495	NA	66.0843986074393	81.1955097185504	4.93676695673781	0.00790312790768452
"99"	"Impervious + dense.urban + Apt.condo"	5	34	-4.73619327875929	0	20.3664164004194	-0.454556944192217	NA	NA	NA	-53.4296284423328	NA	NA	NA	NA	NA	NA	69.2568824565823	81.3997395994395	5.14099683762687	0.00713593779625636
"83"	"Impervious + Apt.condo + FC00.Road"	5	34	-4.46797809896175	0	19.5152452492736	NA	NA	NA	NA	-52.4758319790449	NA	NA	NA	NA	-1.35563154932786	NA	69.2740974814358	81.416954624293	5.1582118624804	0.00707477871437929
"115"	"Impervious + light.med.urb + Apt.condo"	5	34	-4.57972113886832	0	19.6805698233459	NA	-0.0193954560763152	NA	NA	-53.2305725243203	NA	NA	NA	NA	NA	NA	69.3042350851615	81.4470922280186	5.18834946620605	0.0069689694870071
"66"	"conifer.deciduous + Apt.condo + FC00.Road"	5	34	8.12853431165141	0	NA	NA	NA	NA	-14.6683030099632	-45.0666046806805	NA	NA	NA	NA	-20.5234756366543	NA	69.6249193922473	81.7677765351044	5.5090337732918	0.00593653251068546
"88"	"Impervious + Industrial"	4	34	-4.34257487098447	0.186282910745047	13.3043813783119	NA	NA	NA	NA	NA	NA	-5.31251305601978	NA	NA	NA	NA	72.5280802332522	81.9073905780797	5.64864781626716	0.00553625449971069
"94"	"Impervious + Residential + FC00.Road"	5	34	-5.67750163734801	0	22.7650633173848	NA	NA	NA	NA	NA	NA	NA	NA	17.2418236329230	-141.728119877112	NA	69.9368592692892	82.0797164121464	5.82097365033378	0.00507920763465199
"89"	"Impervious + Industrial + FC00.Road"	5	34	-3.97080929836602	0	14.6298726021279	NA	NA	NA	NA	NA	NA	-6.45955937554723	NA	NA	-12.8414359160926	NA	70.011439243817	82.1542963866741	5.89555362486153	0.00489329198587776
"70"	"conifer.deciduous + Commercial + Nonlocal.Road"	5	34	0.492987336982678	0	NA	NA	NA	NA	-5.22094001467832	NA	6.86685912515112	NA	NA	NA	NA	19.6714840423600	70.1985788979933	82.3414360408505	6.08269327903787	0.00445619586786
"112"	"Impervious + dense.urban + Residential + Nonlocal.Road"	6	34	-1.04986323255145	0	68.646802988895	-59.9148907965358	NA	NA	NA	NA	NA	NA	NA	-26.5820064944257	NA	-6.03533384562198	67.4906798948021	82.6017910059132	6.34304824410061	0.00391227080950626
"65"	"conifer.deciduous + Apt.condo"	4	34	4.90897938737368	0.282398562802052	NA	NA	NA	NA	-10.8848215021795	-29.0562357432988	NA	NA	NA	NA	NA	NA	73.2937182421438	82.6730285869714	6.41428582515883	0.00377537299552463
"39"	"light.med.urb + Commercial"	4	34	-3.74616317822756	0	NA	NA	5.26277610453825	NA	NA	NA	20.8609899136027	NA	NA	NA	NA	NA	73.4397501763301	82.8190605211577	6.56031775934514	0.00350953383279564
"71"	"conifer.deciduous + Industrial"	4	34	3.24673668299428	0.330041293989874	NA	NA	NA	NA	-9.0849743916171	NA	NA	-3.54135324627263	NA	NA	NA	NA	74.1841121536531	83.5634224984807	7.30467973666812	0.00241887420849487
"119"	"Impervious + light.med.urb + Industrial"	5	34	-4.12713584170973	0	13.8244935793946	NA	-0.990121377605298	NA	NA	NA	NA	-6.21967097893891	NA	NA	NA	NA	71.5842439000912	83.7271010429483	7.46835828113576	0.00222879918102657
"105"	"Impervious + dense.urban + Industrial"	5	34	-4.12455461616964	0	11.3972936496001	2.36887079657723	NA	NA	NA	NA	NA	-6.49949085948658	NA	NA	NA	NA	71.7031899621644	83.8460471050215	7.58730434320896	0.00210011042263967
"62"	"conifer.deciduous"	3	34	2.70664737854646	0.449306454143250	NA	NA	NA	NA	-8.22399476268971	NA	NA	NA	NA	NA	NA	NA	77.09630359607	83.89630359607	7.63756083425739	0.00204799584841099
"127"	"Impervious + grass.shrub.crops + Apt.condo + FC00.Road"	6	34	-4.73517613908632	0	18.2432841505424	NA	NA	2.75913354782401	NA	-49.8180743566858	NA	NA	NA	NA	5.34079249840015	NA	68.8579069398041	83.9690180509152	7.71027528910261	0.00197487371119432
"136"	"Impervious + grass.shrub.crops + Parks.open.space + Nonlocal.Road"	6	34	-12.0133727237192	0	18.110403098611	NA	NA	-44.1346657260101	NA	NA	NA	NA	23.0824050297466	NA	NA	131.621461862185	68.9516634499863	84.0627745610975	7.80403179928487	0.0018844315256626
"132"	"Impervious + grass.shrub.crops + Industrial"	5	34	-4.3811472545594	0	13.0308206066502	NA	NA	1.91098516284813	NA	NA	NA	-5.27024259936466	NA	NA	NA	NA	72.1289475799761	84.2718047228333	8.01306196102067	0.00169742282695343
"108"	"Impervious + dense.urban + Parks.open.space"	5	34	-9.56212569259014	0.203358560875175	30.3580862942232	-13.1535615488155	NA	NA	NA	NA	NA	NA	8.93579597362285	NA	NA	NA	72.2246992405347	84.3675563833918	8.10881362157923	0.00161807195039481
"129"	"Impervious + grass.shrub.crops + Commercial"	5	34	-3.18054547465035	0	7.13560776842371	NA	NA	-7.66256397343923	NA	NA	13.1596433192295	NA	NA	NA	NA	NA	72.3625388482165	84.5053959910736	8.24665322926101	0.00151031083786131
"64"	"conifer.deciduous + Nonlocal.Road"	4	34	-0.171695800984032	0	NA	NA	NA	NA	-4.4143970197005	NA	NA	NA	NA	NA	NA	54.343539687998	75.2647124836778	84.6440228285053	8.38528006669276	0.00140917167019230
"90"	"Impervious + Industrial + Nonlocal.Road"	5	34	-4.38724839147749	0.198900553688059	13.8912106134068	NA	NA	NA	NA	NA	NA	-5.64298341311466	NA	NA	NA	-4.63306134077960	72.5150922502448	84.657949393102	8.39920663128939	0.00139939329435222
"40"	"light.med.urb + Commercial + Nonlocal.Road"	5	34	-3.73486856664488	0	NA	NA	4.43697153905484	NA	NA	NA	17.1353330390045	NA	NA	NA	NA	19.9759075777043	72.6015786985977	84.7444358414548	8.48569307964225	0.00134016877475283
"96"	"Impervious + dense.urban"	4	34	-4.65891448121537	0.414566625982571	16.8470683188024	-6.14877342198704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.6457293964562	85.0250397412838	8.76629697947125	0.00116473501641510
"81"	"Impervious + Nonlocal.Road"	4	34	-3.84046521906538	0	6.14334915920864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.9569546670076	75.7111018433984	85.090412188226	8.83166942641338	0.00112727969850835
"131"	"Impervious + grass.shrub.crops + Commercial + Nonlocal.Road"	6	34	-3.25936213244922	0	5.15610816706031	NA	NA	-7.15968087724553	NA	NA	10.3289176063401	NA	NA	NA	NA	31.7367220057711	70.3503160929626	85.4614272040737	9.20268444226112	0.000936411629594303
"109"	"Impervious + dense.urban + Parks.open.space + Nonlocal.Road"	6	34	-7.73653517911242	0	21.6614813191903	-9.23079801799861	NA	NA	NA	NA	NA	NA	6.33449443663782	NA	NA	28.3112282078121	70.4519337349173	85.5630448460285	9.30430208421588	0.000890022135740139
"87"	"Impervious + Commercial + Nonlocal.Road"	5	34	-3.74557919234486	0	6.27978922382623	NA	NA	NA	NA	NA	4.32163703104479	NA	NA	NA	NA	36.8245139488441	73.54603701341	85.6888941562671	9.43015139445451	0.00083574344240988
"113"	"Impervious + light.med.urb"	4	34	-4.59994784266283	0.450500468657917	10.1784912500233	NA	2.61797725960977	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.4173460551553	85.796656399983	9.53791363817034	0.000791904304654526
"85"	"Impervious + Commercial"	4	34	-3.65379437386552	0	8.58513951200917	NA	NA	NA	NA	NA	7.23638023445267	NA	NA	NA	NA	NA	76.4233050478985	85.8026153927261	9.54387263091353	0.00078954834018885
"93"	"Impervious + Residential"	4	34	-4.97264506916598	0.449691477422044	10.9800013615439	NA	NA	NA	NA	NA	NA	NA	NA	2.75982509575916	NA	NA	76.4259986859138	85.8053090307414	9.54656626892879	0.0007884856772448
"121"	"Impervious + light.med.urb + Parks.open.space"	5	34	-10.3869385270707	0.286572096027936	16.9952664627753	NA	6.61588167139051	NA	NA	NA	NA	NA	10.4787991832987	NA	NA	NA	73.6691568900738	85.8120140329309	9.55327127111832	0.000785846704200314
"76"	"conifer.deciduous + Residential"	4	34	2.10465767608039	0.451775554332554	NA	NA	NA	NA	-8.00381796984205	NA	NA	NA	NA	1.34690774126590	NA	NA	76.4661905357009	85.8455008805285	9.58675811871593	0.000772798480589126
"122"	"Impervious + light.med.urb + Parks.open.space + Nonlocal.Road"	6	34	-8.21792620405742	0	11.4134417380574	NA	4.48081900913162	NA	NA	NA	NA	NA	7.34265247758427	NA	NA	37.4049216790738	70.7351436762033	85.8462547873144	9.5875120255018	0.000772507226477878
"79"	"Impervious"	3	34	-4.03775813021397	0.524862129437466	11.3778433217316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.0992838283995	85.8992838283994	9.64054106658686	0.000752293727561918
"73"	"conifer.deciduous + Industrial + Nonlocal.Road"	5	34	1.95147780445172	0.277668347198564	NA	NA	NA	NA	-7.34351993380875	NA	NA	-2.43928778452894	NA	NA	NA	21.4246889838781	73.8145147182028	85.95737186106	9.6986290992474	0.000730758347059942
"75"	"conifer.deciduous + Parks.open.space + Nonlocal.Road"	5	34	0.101070957479281	0	NA	NA	NA	NA	-5.81958505751652	NA	NA	NA	1.81845808597734	NA	NA	48.4476483819141	73.9326215305635	86.0754786734206	9.81673591160805	0.00068885405034543
"33"	"dense.urban + Residential + FC00.Road"	5	34	-7.60339993654531	0.354458203783308	NA	23.4364353066432	NA	NA	NA	NA	NA	NA	NA	30.1611414544471	-145.138900090220	NA	74.1274111623183	86.2702683051754	10.0115255433629	0.000624926850984163
"63"	"conifer.deciduous + FC00.Road"	4	34	2.25588981062712	0.459760763157562	NA	NA	NA	NA	-7.84404457976703	NA	NA	NA	NA	NA	5.12847353778135	NA	77.0042484182242	86.3835587630518	10.1248160012392	0.00059051165651771
"120"	"Impervious + light.med.urb + Industrial + Nonlocal.Road"	6	34	-4.22043026342294	0	16.6298237477152	NA	-1.40506610655818	NA	NA	NA	NA	-8.09982754557452	NA	NA	NA	-20.5873607538954	71.3269429390268	86.4380540501379	10.1793112883253	0.000574638835903384
"74"	"conifer.deciduous + Parks.open.space"	4	34	2.720134647927	0.440876022789149	NA	NA	NA	NA	-8.62544061888342	NA	NA	NA	0.68596849979737	NA	NA	NA	77.0708344934432	86.4501448382708	10.1914020764582	0.000571175397168568
"107"	"Impervious + dense.urban + Industrial + Nonlocal.Road"	6	34	-4.20549929914028	0	13.0276021514394	3.36541160718955	NA	NA	NA	NA	NA	-8.40714243686876	NA	NA	NA	-19.3601346834568	71.4800880195698	86.591199130681	10.3324563688683	0.00053227974718476
"114"	"Impervious + light.med.urb + Nonlocal.Road"	5	34	-4.27623894831818	0.300460828360002	6.98701382275925	NA	1.61847757209511	NA	NA	NA	NA	NA	NA	NA	NA	39.8284941887228	74.6712734574071	86.8141306002643	10.5553878384517	0.000476135966293637
"137"	"Impervious + grass.shrub.crops + Residential"	5	34	-6.1785636641286	0.330330850999482	10.5862703008357	NA	NA	11.5131097536425	NA	NA	NA	NA	NA	4.65976277705479	NA	NA	74.7317972204276	86.8746543632847	10.6159116014721	0.000461943031670836
"80"	"Impervious + FC00.Road"	4	34	-4.58233669948158	0.498398970198268	9.56991551769333	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.7975647755807	NA	77.6638961796566	87.0432065244842	10.7844637626716	0.000424607619743807
"32"	"dense.urban + Residential"	4	34	-5.71608281723998	0.531455889216142	NA	11.2145938909257	NA	NA	NA	NA	NA	NA	NA	8.47529412320003	NA	NA	77.8347954098682	87.2141057546958	10.9553629928832	0.000389832001019869
"134"	"Impervious + grass.shrub.crops + Industrial + Nonlocal.Road"	6	34	-4.40718649049918	0	13.3470937657348	NA	NA	2.01896945166407	NA	NA	NA	-5.45943179500639	NA	NA	NA	-2.63310601950663	72.1234164534605	87.2345275645717	10.9757848027591	0.000385871716966738
"98"	"Impervious + dense.urban + Nonlocal.Road"	5	34	-3.97477092906161	0	7.71623991870084	-1.46920561828192	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.1529651660664	75.0928891882012	87.2357463310583	10.9770035692458	0.000385636644840123
"78"	"conifer.deciduous + Residential + Nonlocal.Road"	5	34	-0.0269043787367500	0	NA	NA	NA	NA	-4.50482758169053	NA	NA	NA	NA	-0.280969445077679	NA	53.8137550276670	75.1596017526805	87.3024588955377	11.0437161337251	0.000372985412119722
"95"	"Impervious + Residential + Nonlocal.Road"	5	34	-3.98631134956445	0	6.17979787009555	NA	NA	NA	NA	NA	NA	NA	NA	0.454784584725988	NA	54.063880378585	75.4232851594492	87.5661423023064	11.3073995404938	0.000326914152515380
"92"	"Impervious + Parks.open.space + Nonlocal.Road"	5	34	-4.02298831023427	0	6.47936621142075	NA	NA	NA	NA	NA	NA	NA	0.400968470427729	NA	NA	54.341841235842	75.6226972396463	87.7655543825035	11.5068116206909	0.000295891125024298
"125"	"Impervious + grass.shrub.crops + Nonlocal.Road"	5	34	-3.82648334992582	0	6.09994382041775	NA	NA	-0.258422014377194	NA	NA	NA	NA	NA	NA	NA	55.6078672177869	75.7011063553237	87.8439634981808	11.5852207363683	0.000284515293535696
"34"	"dense.urban + Residential + Nonlocal.Road"	5	34	-4.95312294030513	0.353096800127422	NA	7.23326057704704	NA	NA	NA	NA	NA	NA	NA	5.24714430348442	NA	45.501695270293	75.7711807500385	87.9140378928956	11.6552951310831	0.000274719289424527
"91"	"Impervious + Parks.open.space"	4	34	-2.66464516276774	0.524704798106396	8.97260659476616	NA	NA	NA	NA	NA	NA	NA	-2.99771650941973	NA	NA	NA	78.5348680758658	87.9141784206934	11.6554356588808	0.000274699987254290
"23"	"dense.urban + Apt.condo + Nonlocal.Road"	5	34	-2.27790588044534	0.353084691255278	NA	8.08724320447062	NA	NA	NA	-47.2572854865727	NA	NA	NA	NA	NA	93.1012954463994	75.8242437798319	87.967100922689	11.7083581608764	0.000267526411409895
"22"	"dense.urban + Apt.condo + FC00.Road"	5	34	-3.88679915942527	0.387476194131005	NA	13.6572497702827	NA	NA	NA	-53.1963682923664	NA	NA	NA	NA	54.6556981647447	NA	75.8270087784414	87.9698659212986	11.711123159486	0.000267156811876526
"123"	"Impervious + grass.shrub.crops"	4	34	-3.83975501302194	0.535288625488346	11.3537403865106	NA	NA	-3.7289598954511	NA	NA	NA	NA	NA	NA	NA	NA	78.8600688127265	88.239379157554	11.9806363957415	0.00023347597435775
"53"	"grass.shrub.crops + Commercial + Nonlocal.Road"	5	34	-2.42639336654231	0	NA	NA	NA	-12.0258769988593	NA	NA	13.9256743462473	NA	NA	NA	NA	64.4843705641014	76.4129053883253	88.5557625311824	12.2970197693698	0.000199315200042497
"28"	"dense.urban + Industrial + FC00.Road"	5	34	-4.27827779596625	0.361736591802594	NA	12.4074230294827	NA	NA	NA	NA	NA	-8.33142349941399	NA	NA	35.4662564474923	NA	76.442997557152	88.585854700009	12.3271119381965	0.000196338734942330
"57"	"grass.shrub.crops + Parks.open.space"	4	34	1.43639078072812	0.553904002013617	NA	NA	NA	18.8761992100897	NA	NA	NA	NA	-13.8475146236407	NA	NA	NA	79.3213936977918	88.7007040426194	12.4419612808068	0.000185381661622493
"14"	"Parks.open.space + Nonlocal.Road"	4	34	-0.885816944360143	0.539768075393344	NA	NA	NA	NA	NA	NA	NA	NA	-5.97640246224138	NA	NA	64.6373459746556	79.3460951194652	88.7254054642928	12.4666627024802	0.000183106147360209
"13"	"Parks.open.space"	3	34	2.06185214155756	0.814066494506194	NA	NA	NA	NA	NA	NA	NA	NA	-12.0169356990652	NA	NA	NA	82.1093668501008	88.9093668501008	12.6506240882882	0.000167015284469618
"42"	"light.med.urb + Industrial + Nonlocal.Road"	5	34	-4.23271110925268	0.428607774586228	NA	NA	3.71895499971737	NA	NA	NA	NA	4.69647705980277	NA	NA	NA	83.106478473937	77.1042130765675	89.2470702194246	12.9883274576120	0.000141066815557107
"19"	"dense.urban + FC00.Road"	4	34	-4.78125912365614	0.649160814541564	NA	6.58300605074548	NA	NA	NA	NA	NA	NA	NA	NA	53.2947286045799	NA	79.9697760057927	89.3490863506203	13.0903435888077	0.000134051704732352
"139"	"Impervious + grass.shrub.crops + Residential + Nonlocal.Road"	6	34	-5.36366381520525	0.272700592771913	8.59295557703473	NA	NA	6.80624277749509	NA	NA	NA	NA	NA	3.18243449940326	NA	23.7958941289673	74.3218252401631	89.4329363512742	13.1741935894616	0.00012854776938122
"124"	"Impervious + grass.shrub.crops + FC00.Road"	5	34	-5.15840725279428	0.465192427861412	8.69992561356628	NA	NA	6.12901806951771	NA	NA	NA	NA	NA	NA	27.8428589589496	NA	77.3031872373923	89.4460443802495	13.1873016184369	0.000127708020308097
"3"	"Nonlocal.Road"	3	34	-3.35699575018271	0.696918530419823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112.109258530743	82.6480457408375	89.4480457408375	13.1893029790249	0.000127580289328383
"51"	"grass.shrub.crops + Commercial"	4	34	-1.49271637644048	0.621089215221106	NA	NA	NA	-24.4550159545549	NA	NA	30.1051612571052	NA	NA	NA	NA	NA	80.2653352584433	89.6446456032708	13.3859028414583	0.000115635841459819
"30"	"dense.urban + Parks.open.space"	4	34	1.02694888121834	0.712415886310109	NA	3.13293099513696	NA	NA	NA	NA	NA	NA	-9.9316217574465	NA	NA	NA	81.0047913353947	90.3841016802223	14.1253589184097	7.98953710609461e-05
"36"	"light.med.urb + Nonlocal.Road"	4	34	-3.74438535345174	0.61419158069456	NA	NA	2.50641366078856	NA	NA	NA	NA	NA	NA	NA	NA	94.2677877552824	81.0784451332612	90.4577554780888	14.1990127162762	7.70065911857252e-05
"135"	"Impervious + grass.shrub.crops + Parks.open.space"	5	34	-1.68825246155652	0.502603539477303	6.71698075573366	NA	NA	6.24344861014524	NA	NA	NA	NA	-5.8435465320512	NA	NA	NA	78.382577413275	90.5254345561322	14.2666917943196	7.44443211596598e-05
"47"	"grass.shrub.crops + Nonlocal.Road"	4	34	-2.77344348943366	0.620726194630043	NA	NA	NA	-10.6139518394589	NA	NA	NA	NA	NA	NA	NA	111.202209041904	81.151830033974	90.5311403788016	14.2723976169890	7.42322407791271e-05
"31"	"dense.urban + Parks.open.space + Nonlocal.Road"	5	34	-1.28745245276623	0.459876794156222	NA	2.08385154810739	NA	NA	NA	NA	NA	NA	-5.09265424421931	NA	NA	57.8403478491284	78.5066668775149	90.649524020372	14.3907812585594	6.99658136875772e-05
"12"	"Industrial + Nonlocal.Road"	4	34	-3.47327036516393	0.5900913385747	NA	NA	NA	NA	NA	NA	NA	2.70682287493001	NA	NA	NA	108.866469834783	81.532987237946	90.9122975827735	14.6535548209610	6.13515211617744e-05
"20"	"dense.urban + Nonlocal.Road"	4	34	-3.40012462476724	0.59341765545602	NA	2.73410172871064	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.6717904076166	81.5526444242858	90.9319547691134	14.6732120073008	6.07514756519405e-05
"58"	"grass.shrub.crops + Parks.open.space + Nonlocal.Road"	5	34	0.0420832905506529	0.49786200293491	NA	NA	NA	10.5738786604608	NA	NA	NA	NA	-9.5866060493263	NA	NA	36.2967701480954	78.8364071093233	90.9792642521804	14.7205214903678	5.93312786161264e-05
"9"	"Commercial + Nonlocal.Road"	4	34	-3.29297009437872	0.61941623313886	NA	NA	NA	NA	NA	NA	8.38160030607296	NA	NA	NA	NA	84.3928149465052	81.7913652130813	91.170675557909	14.9119327960963	5.3916199393532e-05
"17"	"Residential + Nonlocal.Road"	4	34	-3.79410278152044	0.669756575073064	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70781677444685	NA	104.962370536296	82.0662464702454	91.445556815073	15.1868140532604	4.69926097278105e-05
"43"	"light.med.urb + Parks.open.space"	4	34	2.42518645963956	0.80741043121449	NA	NA	-0.674810145622569	NA	NA	NA	NA	NA	-12.6619555761800	NA	NA	NA	82.0663735725886	91.4456839174162	15.1869411556036	4.69896233872988e-05
